,model,metric,fold,value
386,LogisticRegression,fn_rate,6,0.18181818181818182
387,LogisticRegression,fn_rate,7,0.14285714285714285
388,LogisticRegression,fn_rate,8,0.06578947368421052
389,LogisticRegression,fn_rate,9,0.19736842105263158
390,LogisticRegression,tp_rate,0,0.18181818181818182
391,LogisticRegression,tp_rate,1,0.19480519480519481
392,LogisticRegression,tp_rate,2,0.19480519480519481
393,LogisticRegression,tp_rate,3,0.18181818181818182
394,LogisticRegression,tp_rate,4,0.18181818181818182
395,LogisticRegression,tp_rate,5,0.22077922077922077
396,LogisticRegression,tp_rate,6,0.16883116883116883
397,LogisticRegression,tp_rate,7,0.2077922077922078
398,LogisticRegression,tp_rate,8,0.27631578947368424
399,LogisticRegression,tp_rate,9,0.14473684210526316
400,RandomForest,accuracy,0,0.7662337662337663
401,RandomForest,accuracy,1,0.7792207792207793
402,RandomForest,accuracy,2,0.7272727272727273
403,RandomForest,accuracy,3,0.8181818181818182
404,RandomForest,accuracy,4,0.8311688311688312
405,RandomForest,accuracy,5,0.7272727272727273
406,RandomForest,accuracy,6,0.7272727272727273
407,RandomForest,accuracy,7,0.7662337662337663
408,RandomForest,accuracy,8,0.75
409,RandomForest,accuracy,9,0.6973684210526315
410,RandomForest,precision,0,0.6666666666666666
411,RandomForest,precision,1,0.7777777777777778
412,RandomForest,precision,2,0.625
413,RandomForest,precision,3,0.8095238095238095
414,RandomForest,precision,4,0.8181818181818182
415,RandomForest,precision,5,0.625
416,RandomForest,precision,6,0.6666666666666666
417,RandomForest,precision,7,0.6551724137931034
418,RandomForest,precision,8,0.64
419,RandomForest,precision,9,0.5714285714285714
420,RandomForest,recall,0,0.6666666666666666
421,RandomForest,recall,1,0.5185185185185185
422,RandomForest,recall,2,0.5555555555555556
423,RandomForest,recall,3,0.6296296296296297
424,RandomForest,recall,4,0.6666666666666666
425,RandomForest,recall,5,0.5555555555555556
426,RandomForest,recall,6,0.4444444444444444
427,RandomForest,recall,7,0.7037037037037037
428,RandomForest,recall,8,0.6153846153846154
429,RandomForest,recall,9,0.46153846153846156
430,RandomForest,f1,0,0.6666666666666666
431,RandomForest,f1,1,0.6222222222222222
432,RandomForest,f1,2,0.5882352941176471
433,RandomForest,f1,3,0.7083333333333334
434,RandomForest,f1,4,0.7346938775510204
435,RandomForest,f1,5,0.5882352941176471
436,RandomForest,f1,6,0.5333333333333333
437,RandomForest,f1,7,0.6785714285714286
438,RandomForest,f1,8,0.6274509803921569
439,RandomForest,f1,9,0.5106382978723404
440,RandomForest,balanced_accuracy,0,0.7433333333333333
441,RandomForest,balanced_accuracy,1,0.7192592592592593
442,RandomForest,balanced_accuracy,2,0.6877777777777778
443,RandomForest,balanced_accuracy,3,0.7748148148148148
444,RandomForest,balanced_accuracy,4,0.7933333333333333
445,RandomForest,balanced_accuracy,5,0.6877777777777778
446,RandomForest,balanced_accuracy,6,0.6622222222222223
447,RandomForest,balanced_accuracy,7,0.7518518518518519
448,RandomForest,balanced_accuracy,8,0.7176923076923076
449,RandomForest,balanced_accuracy,9,0.6407692307692308
450,RandomForest,mcc,0,0.4866666666666667
451,RandomForest,mcc,1,0.4944160539751941
452,RandomForest,mcc,2,0.3868989217888074
453,RandomForest,mcc,3,0.5888888888888889
454,RandomForest,mcc,4,0.6196773353931867
455,RandomForest,mcc,5,0.3868989217888074
456,RandomForest,mcc,6,0.3658010669613767
457,RandomForest,mcc,7,0.49604652413672967
458,RandomForest,mcc,8,0.43963237075742945
459,RandomForest,mcc,9,0.29868844171608855
460,RandomForest,tn_rate,0,0.5324675324675324
461,RandomForest,tn_rate,1,0.5974025974025974
462,RandomForest,tn_rate,2,0.5324675324675324
463,RandomForest,tn_rate,3,0.5974025974025974
464,RandomForest,tn_rate,4,0.5974025974025974
465,RandomForest,tn_rate,5,0.5324675324675324
466,RandomForest,tn_rate,6,0.5714285714285714
467,RandomForest,tn_rate,7,0.5194805194805194
468,RandomForest,tn_rate,8,0.5394736842105263
469,RandomForest,tn_rate,9,0.5394736842105263
470,RandomForest,fp_rate,0,0.11688311688311688
471,RandomForest,fp_rate,1,0.05194805194805195
472,RandomForest,fp_rate,2,0.11688311688311688
473,RandomForest,fp_rate,3,0.05194805194805195
474,RandomForest,fp_rate,4,0.05194805194805195
475,RandomForest,fp_rate,5,0.11688311688311688
476,RandomForest,fp_rate,6,0.07792207792207792
477,RandomForest,fp_rate,7,0.12987012987012986
478,RandomForest,fp_rate,8,0.11842105263157894
479,RandomForest,fp_rate,9,0.11842105263157894
480,RandomForest,fn_rate,0,0.11688311688311688
481,RandomForest,fn_rate,1,0.16883116883116883
482,RandomForest,fn_rate,2,0.15584415584415584
483,RandomForest,fn_rate,3,0.12987012987012986
484,RandomForest,fn_rate,4,0.11688311688311688
485,RandomForest,fn_rate,5,0.15584415584415584
486,RandomForest,fn_rate,6,0.19480519480519481
487,RandomForest,fn_rate,7,0.1038961038961039
488,RandomForest,fn_rate,8,0.13157894736842105
489,RandomForest,fn_rate,9,0.18421052631578946
490,RandomForest,tp_rate,0,0.23376623376623376
491,RandomForest,tp_rate,1,0.18181818181818182
492,RandomForest,tp_rate,2,0.19480519480519481
493,RandomForest,tp_rate,3,0.22077922077922077
494,RandomForest,tp_rate,4,0.23376623376623376
495,RandomForest,tp_rate,5,0.19480519480519481
496,RandomForest,tp_rate,6,0.15584415584415584
497,RandomForest,tp_rate,7,0.24675324675324675
498,RandomForest,tp_rate,8,0.21052631578947367
499,RandomForest,tp_rate,9,0.15789473684210525
500,KNearestNeighbor,accuracy,0,0.7922077922077922
501,KNearestNeighbor,accuracy,1,0.7662337662337663
502,KNearestNeighbor,accuracy,2,0.7012987012987013
503,KNearestNeighbor,accuracy,3,0.8311688311688312
504,KNearestNeighbor,accuracy,4,0.7012987012987013
505,KNearestNeighbor,accuracy,5,0.7922077922077922
506,KNearestNeighbor,accuracy,6,0.7402597402597403
507,KNearestNeighbor,accuracy,7,0.7662337662337663
508,KNearestNeighbor,accuracy,8,0.6842105263157895
509,KNearestNeighbor,accuracy,9,0.6578947368421053
510,KNearestNeighbor,precision,0,0.7391304347826086
511,KNearestNeighbor,precision,1,0.6956521739130435
512,KNearestNeighbor,precision,2,0.5833333333333334
513,KNearestNeighbor,precision,3,0.8181818181818182
514,KNearestNeighbor,precision,4,0.5833333333333334
515,KNearestNeighbor,precision,5,0.7894736842105263
516,KNearestNeighbor,precision,6,0.6521739130434783
517,KNearestNeighbor,precision,7,0.6363636363636364
518,KNearestNeighbor,precision,8,0.5294117647058824
519,KNearestNeighbor,precision,9,0.5
520,KNearestNeighbor,recall,0,0.6296296296296297
521,KNearestNeighbor,recall,1,0.5925925925925926
